fileSize,single,buffer1k,buffer8k,buffer32k
128,449,5,5,4
256,899,6,6,5
512,1787,10,7,8
1024,3587,16,12,11
2048,7133,28,20,19
4096,14445,53,36,34
8192,28960,103,70,72
16384,57929,205,134,124
32768,116981,408,267,252
64,232,4,4,4
128,450,5,4,5
256,896,7,5,5
512,1780,9,8,7
1024,3578,16,12,11
2048,7161,29,20,18
4096,14444,54,36,33
8192,28987,103,69,71
16384,57871,201,134,125
32768,116642,405,263,279
64,230,4,4,4
128,450,5,4,5
256,901,7,5,6
512,1783,10,7,7
1024,3583,16,12,11
2048,7125,28,20,19
4096,14453,53,36,34
8192,28893,104,68,64
16384,57891,203,133,125
32768,116527,407,263,248
64,229,5,3,4
128,453,5,4,4
256,895,6,6,5
512,1778,10,7,8
1024,3595,16,13,11
2048,7153,29,19,19
4096,14462,54,35,34
8192,28911,121,125,79
16384,57858,204,134,126
32768,116558,404,265,251
64,232,4,4,5
128,453,5,4,5
256,893,6,6,5
512,1788,9,8,7
1024,3566,17,11,11
2048,7140,28,20,19
4096,14475,53,37,33
8192,28947,104,68,64
16384,57851,204,134,123
32768,116701,402,263,248
64,230,4,3,4
128,454,5,4,4
256,901,7,5,6
512,1787,9,8,7
1024,3586,15,12,11
2048,7160,28,20,22
4096,14476,53,36,33
8192,29043,103,69,65
16384,58011,204,142,124
32768,116768,401,264,248
64,230,4,4,3
128,455,5,5,4
256,895,7,5,5
512,1790,9,7,8
1024,3596,16,12,11
2048,7161,28,19,19
4096,14457,53,36,34
8192,28892,105,69,64
16384,57881,200,135,129
32768,116521,403,310,306
64,227,4,4,4
128,459,5,4,5
256,894,6,6,5
512,1789,9,8,7
1024,3580,16,12,11
2048,7191,28,20,19
4096,14524,54,36,34
8192,28926,102,69,64
16384,57948,202,142,126
32768,116822,406,265,250
64,233,4,4,4
128,452,5,4,5
256,899,6,6,5
512,1782,10,7,7
1024,3676,16,12,11
2048,7159,28,21,19
4096,14464,53,36,33
8192,28935,104,69,64
16384,57982,203,134,129
32768,116504,403,265,248
64,230,4,4,4
128,458,5,4,5
256,899,7,5,5
512,1799,10,8,7
1024,3594,16,12,11
2048,7153,27,20,19
4096,14457,54,37,35
8192,28884,105,69,65
16384,57825,204,137,128
32768,116555,403,270,249
64,233,4,4,4
128,453,5,4,4
256,897,7,5,6
512,1790,9,8,7
1024,3579,16,12,11
2048,7164,28,21,19
4096,14480,53,35,34
8192,28917,104,69,65
16384,57825,206,135,124
32768,116562,403,278,248
64,230,5,4,3
128,457,4,5,4
256,895,7,5,6
512,1798,10,7,8
1024,3599,16,12,11
2048,7158,28,20,19
4096,14451,53,36,34
8192,28947,103,71,64
16384,58160,204,134,125
32768,116606,406,265,246
64,228,4,4,4
128,456,4,5,4
256,899,6,6,5
512,1786,9,8,7
1024,3582,17,12,11
2048,7148,27,20,19
4096,14483,54,35,33
8192,29065,104,68,66
16384,57814,203,135,125
32768,116474,406,312,267
64,229,4,4,4
128,450,5,5,4
256,900,6,6,5
512,1792,10,7,7
1024,3570,31,12,11
2048,7162,28,20,19
4096,14451,55,37,34
8192,28917,103,68,64
16384,57886,202,136,124
32768,116830,405,263,248
64,230,4,4,4
128,456,5,4,5
256,896,6,6,5
512,1791,9,8,7
1024,3594,16,12,11
2048,7210,28,20,18
4096,14523,53,36,34
8192,28833,103,68,64
16384,57979,203,134,125
32768,116351,409,264,247
64,233,4,4,3
128,454,5,4,5
256,904,7,5,5
512,1796,9,8,7
1024,3595,16,12,11
2048,7165,29,20,18
4096,14456,53,36,34
8192,28867,103,71,71
16384,57915,202,133,124
32768,116834,409,270,246
64,230,4,4,4
128,452,5,5,4
256,897,7,6,5
512,1786,10,7,7
1024,3587,16,12,11
2048,7153,29,20,19
4096,14513,54,36,33
8192,28904,106,68,68
16384,57853,206,143,127
32768,116576,406,271,246
64,253,5,3,5
128,456,4,5,5
256,897,7,5,6
512,1786,9,8,7
1024,3597,16,12,12
2048,7181,28,21,19
4096,14472,56,44,34
8192,28921,102,69,64
16384,57925,203,133,125
32768,116453,434,266,245
64,235,4,4,3
128,453,5,4,4
256,909,6,6,5
512,1785,10,7,7
1024,3605,15,12,11
2048,7154,28,19,19
4096,14496,57,36,33
8192,28909,104,68,72
16384,57952,205,134,124
32768,116697,404,421,263
64,226,5,4,3
128,451,5,5,4
256,900,7,5,5
512,1786,10,7,8
1024,3598,16,12,11
2048,7189,38,20,29
4096,14503,54,36,33
8192,28949,103,69,66
16384,57876,204,133,125
32768,116531,405,273,254
64,230,4,4,4
128,449,5,5,4
256,895,6,6,5
512,1792,10,7,7
1024,3576,15,12,11
2048,7148,27,20,19
