fileSize,single,buffer1k,buffer8k,buffer32k
512,1855,7,4,4
1024,3681,12,4,5
2048,7361,15,7,5
4096,15610,34,13,10
8192,32814,55,16,12
64,260,4,3,4
128,484,5,4,4
256,1024,4,71,72
512,2751,8,4,6
1024,4338,13,6,6
2048,7787,23,11,5
4096,15067,31,12,10
8192,30502,57,19,14
64,268,5,4,4
128,476,4,4,5
256,1011,6,70,70
512,1947,8,5,4
1024,4148,12,5,5
2048,8130,15,7,5
4096,16014,28,11,8
8192,32096,58,22,12
64,236,4,4,3
128,468,4,5,4
256,993,6,71,71
512,1864,8,4,4
1024,3672,11,4,5
2048,7394,17,8,4
4096,15019,27,11,9
8192,33241,61,19,15
64,240,5,5,5
128,528,5,7,5
256,1157,4,73,75
512,2046,10,5,5
1024,3877,11,4,5
2048,7942,15,8,4
4096,16050,33,15,8
8192,30590,61,28,11
64,237,3,4,4
128,478,5,4,5
256,1008,73,71,72
512,1852,9,4,4
1024,3736,12,4,5
2048,7438,17,7,5
4096,15293,34,13,8
8192,33229,56,19,16
64,241,5,3,4
128,463,5,4,5
256,1116,6,81,71
512,1986,6,5,4
1024,3773,11,5,4
2048,7558,17,8,4
4096,16724,31,10,9
8192,34443,58,25,15
64,260,4,4,4
128,491,5,4,6
256,1344,19,105,101
512,2215,9,5,3
1024,4191,15,6,6
2048,8086,18,7,6
4096,16835,59,15,12
8192,33708,65,18,12
64,245,4,4,4
128,566,6,5,10
256,1071,103,79,73
512,2138,8,4,4
1024,3702,10,5,4
2048,7215,15,7,4
4096,14675,28,11,8
8192,29112,56,23,12
64,229,3,4,4
128,453,4,4,5
256,979,5,70,71
512,1791,7,4,4
1024,3597,11,5,4
2048,7160,15,6,5
4096,14549,28,10,8
8192,29212,54,17,13
64,229,3,4,3
128,451,5,4,4
256,968,4,71,71
512,1790,8,4,4
1024,3579,12,4,4
2048,7156,15,8,4
4096,14337,29,10,8
8192,28814,54,17,13
64,223,4,4,3
128,448,4,5,4
256,959,5,69,70
512,1783,24,4,4
1024,3555,11,9,6
2048,7122,17,7,5
4096,14352,28,10,9
8192,28805,55,16,12
64,224,4,4,4
128,447,4,4,4
256,957,5,71,71
512,1781,8,4,4
1024,3545,10,5,5
2048,7100,15,6,5
4096,14404,28,10,8
8192,28775,56,17,12
64,224,4,4,4
128,446,4,4,4
256,955,5,70,70
512,1772,8,3,4
1024,3563,10,5,4
2048,7080,18,9,7
4096,14408,28,9,7
8192,28801,55,17,12
64,224,4,4,4
128,448,5,4,4
256,954,5,71,70
512,1769,7,4,4
1024,3539,11,4,5
2048,7104,15,7,4
4096,14343,29,9,8
8192,28867,52,17,12
